"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"10p1,10p2,C1,C2,C3,C4,C9","7","100n","","","","","~"
"C5","1","10u","","","","","~"
"C6","1","10n","","","","","~"
"C7,C8","2","1u","","","","","~"
"C10,C11","2","22u","","","","","~"
"D1","1","LED","","","","","~"
"FB1","1","120R","","","","","~"
"J1","1","USB3_B_Micro","","","","","~"
"J2,J3,J4","3","Conn_01x04_Pin","","","","","~"
"R1","1","10k","","","","","~"
"R2,R3,R4,R5","4","1k5","","","","","~"
"SW1","1","SW_SPDT","","","","","~"
"U1","1","STM32F103C8T6","","","","Package_QFP:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf"
"U2","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"Y1","1","Crystal_GND24_Small","","","","","~"
